(-8.860622387537333+0j) (0.12381871697465908+0j) (-0.034481850243671786+0j) (-0.034481850243671786+0j) (0.02347765091366341+0j) (0.02347765091366341+0j) (0.012964362980297866+0j) (-0.007496615716160164+0j) (0.009817999566938325+0j) (0.009817999566938329+0j) (0.02164898063545506+0j) (-0.007496615716160164+0j) (0.008433109644020427+0j) 0j (-0.007496615716160162+0j) (-0.007496615716160162+0j) 0j (-0.0022607088103679+0j) (-0.0016501606314852815+0j) 0j 
(0.12381871697465908+0j) (-7.814583706172781+0j) (0.02412107827219439+0j) (0.0241210782721944+0j) (0.019704301706666098+0j) (0.019704301706666098+0j) (0.02642567114816436+0j) 0j 0j 0j 0j 0j (0.013456934191994506+0j) (0.02164898063545506+0j) 0j 0j (0.009817999566938329+0j) 0j (-0.0037195866499667917+0j) (0.011245141565087088+0j) 
(-0.034481850243671786+0j) (0.02412107827219439+0j) (-8.149567540159365+0j) (0.02642567114816436+0j) (-0.013741075830023517+0j) (-0.013741075830023517+0j) (0.1041328304195597+0j) 0j 0j 0j 0j 0j 0j (0.0022607088103679+0j) 0j 0j 0j (0.013456934191994506+0j) (-0.014175308724662423+0j) 0j 
(-0.034481850243671786+0j) (0.0241210782721944+0j) (0.02642567114816436+0j) (-8.149567540159367+0j) (-0.013741075830023517+0j) (-0.013741075830023517+0j) (0.1041328304195597+0j) 0j 0j 0j 0j 0j 0j (0.0022607088103679+0j) 0j 0j 0j 0j 0j (0.008849141856860287+0j) 
(0.02347765091366341+0j) (0.019704301706666098+0j) (-0.013741075830023517+0j) (-0.013741075830023517+0j) (-8.1952654251074+0j) (0.016869139513691025+0j) (0.04127897118714075+0j) 0j 0j (0.013456934191994506+0j) 0j 0j 0j 0j (-0.022559437935643904+0j) (-0.022559437935643953+0j) (0.008433109644020427+0j) 0j 0j 0j 
(0.02347765091366341+0j) (0.019704301706666098+0j) (-0.013741075830023517+0j) (-0.013741075830023517+0j) (0.016869139513691025+0j) (-8.1952654251074+0j) (0.04127897118714075+0j) (-0.02255943793564394+0j) (0.013456934191994506+0j) 0j 0j (-0.02255943793564389+0j) 0j 0j 0j 0j 0j 0j 0j 0j 
(0.012964362980297866+0j) (0.02642567114816436+0j) (0.1041328304195597+0j) (0.1041328304195597+0j) (0.04127897118714075+0j) (0.04127897118714075+0j) (-8.175438169241867+0j) 0j 0j 0j (0.013456934191994506+0j) 0j 0j (0.008433109644020427+0j) 0j 0j 0j 0j (-0.005369747281452073+0j) 0j 
(-0.007496615716160164+0j) 0j 0j 0j 0j (-0.02255943793564394+0j) 0j (-6.51790273520765+0j) (0.0959222823505799+0j) 0j 0j (0.013456934191994506+0j) 0j 0j 0j (0.016869139513691025+0j) 0j 0j (-0.013741075830023517+0j) 0j 
(0.009817999566938325+0j) 0j 0j 0j 0j (0.013456934191994506+0j) 0j (0.0959222823505799+0j) (-3.4298434169631475+0j) (0.016869139513691025+0j) (0.04127897118714075+0j) (0.09592228235057987+0j) (0.019704301706666098+0j) 0j 0j 0j 0j (-0.013741075830023517+0j) 0j 0j 
(0.009817999566938329+0j) 0j 0j 0j (0.013456934191994506+0j) 0j 0j 0j (0.016869139513691025+0j) (-3.4298434169631467+0j) (0.04127897118714075+0j) 0j (0.019704301706666098+0j) 0j (0.09592228235057987+0j) (0.09592228235057995+0j) (0.12381871697465908+0j) (-0.013741075830023517+0j) 0j 0j 
(0.02164898063545506+0j) 0j 0j 0j 0j 0j (0.013456934191994506+0j) 0j (0.04127897118714075+0j) (0.04127897118714075+0j) (-3.549821139773858+0j) 0j (0.02642567114816436+0j) (0.12381871697465908+0j) 0j 0j 0j (-0.001529994112207618+0j) (-0.0037195866499667917+0j) (0.03181087857299983+0j) 
(-0.007496615716160164+0j) 0j 0j 0j 0j (-0.02255943793564389+0j) 0j (0.013456934191994506+0j) (0.09592228235057987+0j) 0j 0j (-6.5179027352076515+0j) 0j 0j (0.016869139513691025+0j) 0j 0j 0j 0j 0j 
(0.008433109644020427+0j) (0.013456934191994506+0j) 0j 0j 0j 0j 0j 0j (0.019704301706666098+0j) (0.019704301706666098+0j) (0.02642567114816436+0j) 0j (-2.3800623213557+0j) (0.012964362980297866+0j) 0j 0j (0.02347765091366341+0j) (-0.08154174625957288+0j) (-0.005369747281452073+0j) (-0.06989620305108585+0j) 
0j (0.02164898063545506+0j) (0.0022607088103679+0j) (0.0022607088103679+0j) 0j 0j (0.008433109644020427+0j) 0j 0j 0j (0.12381871697465908+0j) 0j (0.012964362980297866+0j) (-2.445664580533885+0j) 0j 0j (0.04127897118714075+0j) (0.034481850243671786+0j) (-0.0016501606314852815+0j) (-0.01413339896578935+0j) 
(-0.007496615716160162+0j) 0j 0j 0j (-0.022559437935643904+0j) 0j 0j 0j 0j (0.09592228235057987+0j) 0j (0.016869139513691025+0j) 0j 0j (-6.5179027352076515+0j) (0.013456934191994506+0j) (0.00013661414961938293+0j) 0j 0j 0j 
(-0.007496615716160162+0j) 0j 0j 0j (-0.022559437935643953+0j) 0j 0j (0.016869139513691025+0j) 0j (0.09592228235057995+0j) 0j 0j 0j 0j (0.013456934191994506+0j) (-6.51790273520765+0j) (0.00013661414961938293+0j) 0j (-0.013741075830023517+0j) 0j 
